1959	Chuck Berry	Johnny B. Goode	https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2?si=918c01daadb74feb
1966	Rolling Stones	Paint it, Black	https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8?si=07e05c4ccd3348f0
1969	Creedance Clearwater Revival	Fortunate Son	https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh?si=ec7487c84ebf405d
1970	Led Zeppelin	Immigrant Song	https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx?si=26e1959fca0d40b7
1971	The Who	Won't Get Fooled Again	https://open.spotify.com/track/0cJPLFrlV7TTCyPLupHzcH?si=3d5d22661fe545f1
1971	Led Zeppelin	Black Dog	https://open.spotify.com/track/3qT4bUD1MaWpGrTwcvguhb?si=b40620e4938e49f7
1975	Queen	Bohemian Rapsody	https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv?si=cd11fc0f52ba4de2
2026	Satoshi	Viva Moldova!	https://open.spotify.com/track/3slA6oMqkypLVUkEjk2xfQ?si=6733cdec306748dd
2024	Alizarina	Duna Túra	https://open.spotify.com/track/7Isj3SS5Kl1porTKXQzHnC?si=1b90645a3af943df
2010	Men Without Hats	The Safety Dance	https://open.spotify.com/track/4UB3TaEGEY9WoOpxYNMgy4?si=cd0ebd64be04448b
